"file","level","status","exact","order_ok","n_missing","n_extra","missing","extra","signature"
"local2017_2020_byelections_council_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,3,1,"selfgov_id|party_num|round","raw_district_id","precinct_id,precinct_key,district_id,raw_district_id,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2020_byelections_council_smd_runoff.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2020_byelections_council_smd_runoff_precincts.csv","precinct","DRIFT",FALSE,FALSE,6,0,"precinct_key|selfgov_id|precinct_number|party_num|name_ka|round","","precinct_id,district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2020_byelections_smd.csv","district","DRIFT",FALSE,FALSE,0,0,"","","district_id,party_id,party_num,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2020_byelections_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,4,0,"precinct_key|district_id|precinct_number|round","","precinct_id,selfgov_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2020_byelections_smd_runoff.csv","district","DRIFT",FALSE,FALSE,0,0,"","","district_id,party_id,party_num,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2020_byelections_smd_runoff_precincts.csv","precinct","DRIFT",FALSE,FALSE,4,0,"precinct_key|district_id|precinct_number|round","","precinct_id,selfgov_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_council_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_council_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,6,0,"precinct_key|selfgov_id|precinct_number|party_num|name_ka|round","","precinct_id,district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_pr.csv","district","DRIFT",FALSE,FALSE,3,0,"party_num|name_ka|round","","district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_pr_precincts.csv","precinct","DRIFT",FALSE,FALSE,6,0,"precinct_key|selfgov_id|precinct_number|party_num|name_ka|round","","precinct_id,district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_pr_selfgov.csv","district","DRIFT",FALSE,FALSE,3,0,"party_num|name_ka|round","","district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_r2_council_smd.csv","district","DRIFT",FALSE,FALSE,2,0,"party_num|round","","district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_r2_council_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,6,0,"precinct_key|selfgov_id|precinct_number|party_num|name_ka|round","","precinct_id,district_id,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_r2_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"round","","district_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_r2_smd_districts.csv","district","DRIFT",FALSE,FALSE,1,0,"round","","district_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_r2_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,4,0,"precinct_key|district_id|precinct_number|round","","precinct_id,selfgov_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_seats.csv","seats","EXACT",TRUE,TRUE,0,0,"","","selfgov_id,party_id,seats_pr,seats_smd,seats_mayor"
"local2017_smd.csv","district","DRIFT",FALSE,FALSE,0,0,"","","district_id,party_id,party_num,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_smd_districts.csv","district","DRIFT",FALSE,FALSE,0,0,"","","district_id,party_id,party_num,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,4,0,"precinct_key|district_id|precinct_number|round","","precinct_id,selfgov_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_zugdidi_2018_council_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_zugdidi_2018_council_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,3,1,"selfgov_id|party_num|round","raw_district_id","precinct_id,precinct_key,district_id,raw_district_id,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_zugdidi_2018_smd.csv","district","DRIFT",FALSE,FALSE,0,0,"","","district_id,party_id,party_num,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_zugdidi_2018_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,4,0,"precinct_key|district_id|precinct_number|round","","precinct_id,selfgov_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2021_council_pr.csv","district","DRIFT",FALSE,TRUE,14,3,"party_num|name_ka|round|registered|voted|voted_noon|voted_5pm|main_list|special_list|invalid_ballots|turnout_pct|noon_pct|five_pct|invalid_pct","seats_pr|seats_smd|threshold_status","district_id,party_id,votes,vote_share,seats_pr,seats_smd,threshold_status"
"local2021_council_pr_precincts.csv","precinct","DRIFT",FALSE,TRUE,16,3,"precinct_id|precinct_key|selfgov_id|precinct_number|party_num|name_ka|round|registered|voted|voted_noon|voted_5pm|invalid_ballots|turnout_pct|noon_pct|five_pct|invalid_pct","seats_pr|seats_smd|threshold_status","district_id,party_id,votes,vote_share,seats_pr,seats_smd,threshold_status"
"local2021_council_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
