party_label_ka,party_id,appearances,election_ids,label_resolves_to_n_ids
„ტრადიციონალისტები”,traditionalists,47,local_2017,1
„ტრიბუნა“,tribuna,28,adj_2024,1
„უსუფაშვილი - რესპუბლიკელები”,republicans_2016,27,parl_2016,1
„უფლის სახელით-უფალია ჩვენი სიმართლე”,ufali_2014,1,local_2014,1
„ქართული იდეა”,georgian_idea,12,parl_2016,1
„ქართული მარში - ეროვნული მოძრაობა“,georgian_march,22,adj_2020,1
„ქართული მარში-ეროვნული მოძრაობა“,georgian_march,25,parl_2020,1
"""ქართული ოცნება - დემოკრატიული საქართველო""",gd,210,parl_2020,1
„ქართული ოცნება - დემოკრატიული საქართველო“,gd,37,adj_2020,1
„ქართული ოცნება - დემოკრატიული საქართველო”,gd,143,parl_2016,1
„ქართული ოცნება- დემოკრატიული საქართველო“,gd,3,adj_2020,1
„ქართული ოცნება-დემოკრატიული,gd,3,local_2017,1
„ქართული ოცნება-დემოკრატიული საქართველო”,gd,2803,local_2017,1
„ქართული ოცნება“,gd,42,adj_2024,1
„ქართული ოცნება”,gd,1,local_2014,1
„ქართული ფესვები”,roots,129,parl_2020,1
"„შალვა ნათელაშვილი  - საქართველოს ლეიბორისტული პარტია""",labour,1,local_2014,1
„შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”,labour,1423,local_2017;parl_2016,1
„შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია” 10. „შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”შამუგიაანნა6წალენჯიხა68,labour,1,local_2017,1
„შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია” ვალერიან,labour,1,local_2017,1
“შალვა ნათელაშვილი – საქართველოს ლეიბორისტული პარტია”,labour,245,parl_2008,1
„შალვა ნათელაშვილი-საქართველოს ლეიბორისტული,labour,1590,local_2021,1
"""შალვა ნათელაშვილი-საქართველოს ლეიბორისტული პარტია""",labour,167,parl_2012,1
